SHOP_ID,DATE,N_TRANS
59,15/09/22,64
73,11/08/21,9
3,4/07/22,17
3,23/07/21,49
78,8/02/21,17
92,1/09/22,16
17,9/11/22,25
31,3/10/21,3
30,20/01/22,14
45,14/01/21,68
74,12/04/22,15
74,22/04/21,19
3,3/11/21,23
23,1/04/22,55
74,1/09/21,36
4,23/10/22,22
30,26/01/21,8
4,18/07/21,26
3,16/04/21,48
31,4/08/22,18
73,3/08/22,3
4,29/11/22,13
96,3/08/22,95
32,11/05/22,48
91,29/09/22,5
78,23/01/22,17
39,11/02/21,7
31,31/12/21,17
46,13/06/21,21
46,1/12/21,52
78,22/12/22,15
78,30/06/22,9
7,22/11/21,30
28,28/01/22,9
84,17/07/21,55
40,23/10/22,72
46,7/05/21,36
12,12/05/21,66
8,13/02/21,52
78,25/06/22,11
73,11/10/21,9
3,30/08/22,16
27,19/01/21,6
18,29/05/21,34
32,11/07/22,47
49,19/03/22,14
28,25/02/22,9
58,12/10/22,25
4,14/11/21,20
48,18/11/21,13
48,15/11/21,11
8,21/11/22,13
72,1/03/21,17
74,22/12/22,38
3,29/11/21,10
77,9/01/21,22
96,11/08/22,68
8,27/07/22,27
82,12/08/22,36
73,27/03/21,19
3,11/08/21,24
1,9/01/22,47
81,11/06/21,14
62,3/05/22,22
59,3/11/22,64
74,4/12/22,7
22,16/11/21,5
52,2/01/21,72
90,3/08/22,10
11,2/09/21,49
28,8/06/22,2
32,25/02/22,45
26,8/05/21,44
35,24/05/22,28
93,19/03/21,31
78,14/05/21,8
1,13/10/22,37
96,2/10/22,44
56,16/10/21,19
66,12/09/22,8
22,22/12/22,22
50,24/03/22,22
35,11/05/21,30
66,3/11/22,4
48,24/12/22,51
49,30/12/21,10
36,3/04/22,1
29,22/02/21,8
28,29/09/22,6
71,24/06/21,9
72,3/04/22,28
50,27/11/21,28
73,14/12/21,2
48,14/03/22,10
84,8/07/21,27
31,27/12/22,24
78,10/07/21,26
46,6/10/22,30
77,16/03/21,19
30,4/06/21,28
31,7/08/22,26
13,10/04/22,9
28,11/07/22,4
1,11/08/22,31
73,21/07/22,5
45,22/05/22,54
95,25/04/22,10
65,2/10/22,4
84,10/05/22,9
82,17/06/21,22
35,10/11/22,27
79,23/02/21,63
76,6/03/22,27
39,16/06/21,5
77,21/01/21,30
13,20/09/22,6
81,4/01/22,11
87,16/04/21,4
81,11/08/22,14
95,19/01/22,11
84,24/06/22,27
74,12/01/21,19
73,24/05/22,5
66,7/09/22,32
29,20/07/22,31
92,20/02/21,9
92,27/06/22,5
54,22/03/21,5
84,19/12/22,20
65,24/02/22,8
31,11/06/21,13
78,23/06/22,11
22,6/05/22,1
5,16/03/21,12
80,18/06/22,3
62,28/07/21,16
5,21/07/21,13
27,2/11/21,10
96,3/11/22,54
24,19/09/21,3
58,10/11/22,7
84,3/05/22,16
28,15/11/21,6
71,1/09/21,3
58,29/04/22,10
90,30/01/22,8
89,18/05/21,4
58,17/01/22,10
84,27/05/22,17
71,21/06/21,8
83,31/01/21,14
4,30/05/21,26
90,16/03/21,7
84,1/11/22,10
27,29/05/22,7
58,1/08/21,2
50,29/08/22,16
84,1/08/22,13
66,1/07/22,9
36,6/05/21,11
17,9/11/21,4
65,11/01/21,4
64,14/05/22,11
48,13/06/21,6
71,19/02/21,16
65,5/12/21,5
73,29/12/21,23
22,2/05/22,5
54,3/02/22,6
48,11/10/21,4
73,11/01/22,7
50,11/04/22,20
87,26/04/22,2
83,2/08/22,6
36,13/11/21,2
29,11/05/22,28
22,23/12/21,14
27,15/03/22,12
62,16/07/21,13
22,28/12/22,11
66,18/04/21,1
65,12/07/21,13
50,6/08/21,19
22,6/04/22,2
94,26/11/22,7
49,14/10/22,2
44,21/07/22,14
22,18/01/22,7
75,10/12/22,3
71,16/06/21,13
56,21/08/22,8
23,25/12/22,4
84,28/08/22,7
27,24/04/22,4
31,15/02/21,7
90,2/07/21,12
91,18/07/22,5
66,31/05/21,5
66,4/04/22,4
64,29/04/22,6
13,8/04/22,7
48,6/12/22,11
99,8/05/21,3
84,23/10/22,6
95,15/10/22,9
13,12/12/22,3
61,28/11/22,6
17,31/10/22,3
92,12/05/21,13
5,1/03/22,11
31,22/02/22,1
36,2/03/22,1
78,21/09/22,10
37,9/02/22,5
44,21/07/21,9
72,14/08/22,25
83,18/04/22,13
81,3/08/22,9
30,8/01/21,15
63,28/02/21,11
58,26/04/22,4
80,13/03/21,7
24,9/08/21,3
83,13/07/22,3
83,28/11/22,2
23,21/03/21,9
90,9/07/21,12
64,13/09/21,2
37,5/08/21,9
28,14/02/22,11
72,26/01/22,18
90,13/05/21,12
43,11/02/21,3
29,17/05/21,7
17,15/03/22,7
43,9/04/21,4
48,21/01/21,10
48,5/05/22,4
90,15/04/21,5
44,8/09/21,1
38,23/04/22,4
94,20/05/22,4
81,28/07/21,8
96,22/08/21,6
73,23/06/21,9
71,29/09/21,13
80,8/01/22,3
92,26/04/21,4
31,20/04/21,9
4,19/01/22,14
49,30/08/21,2
81,26/12/21,9
81,12/07/21,4
28,28/09/21,5
48,18/08/22,8
66,7/02/21,1
66,4/02/21,5
90,3/10/22,9
30,29/04/21,11
95,17/07/22,13
89,19/10/21,2
31,30/04/22,6
28,23/06/22,6
30,31/07/22,4
67,23/04/21,2
89,24/06/22,3
9,10/10/21,1
73,8/04/22,2
75,12/01/22,7
29,5/06/22,4
39,22/05/21,4
87,6/05/22,2
92,9/01/22,8
90,15/06/22,2
73,2/11/21,4
70,28/03/21,2
84,15/08/21,9
28,12/03/22,8
84,29/03/21,3
43,6/11/22,1
91,6/01/21,3
59,24/10/21,2
74,17/10/22,15
73,16/05/22,2
28,17/09/22,5
75,9/12/22,1
27,24/06/22,2
78,14/03/21,5
58,2/03/22,5
58,10/05/22,5
61,13/02/21,1
13,11/12/21,7
95,4/07/21,3
91,16/03/22,9
81,1/08/21,5
81,4/04/21,8
38,3/07/21,1
64,7/03/21,3
70,29/04/21,6
73,19/07/21,3
87,9/08/21,2
87,15/08/22,2
73,19/08/22,4
61,23/04/21,1
49,16/08/22,2
28,4/08/22,3
87,20/03/22,2
59,21/02/21,3
61,20/10/21,1
94,2/09/22,2
83,15/06/22,1
73,2/02/22,5
22,24/05/21,1
22,23/09/21,2
94,25/09/22,2
46,8/05/21,1
61,1/06/21,2
73,30/06/22,2
49,24/06/21,6
65,21/01/22,5
64,3/03/22,1
36,14/12/21,1
17,2/11/21,2
36,12/09/22,2
94,14/05/22,1
13,4/05/21,2
91,27/04/21,5
94,22/10/21,1
58,20/06/21,2
90,7/03/22,6
22,10/04/21,3
36,15/02/22,1
87,4/12/21,1
64,27/03/22,1
36,2/12/22,1
39,14/05/21,2
39,15/05/21,1
36,12/08/22,2
94,20/04/22,1
73,20/06/22,1
28,7/06/21,2
91,11/08/22,1
43,22/07/22,1
64,4/09/22,1
89,19/06/22,2
65,12/12/21,1
83,14/10/22,1
37,18/09/22,2
64,17/05/21,3
36,15/07/21,1
87,24/02/22,3
83,9/08/21,1
43,1/04/22,1
31,25/09/21,1
36,6/05/22,1
83,24/02/22,1
61,6/07/21,1
36,27/11/22,1
68,12/08/22,1559
38,12/04/22,202
16,18/03/21,781
34,1/10/21,292
57,22/02/22,551
88,27/12/21,45
47,11/04/21,200
86,12/02/21,1893
60,19/11/22,127
18,11/03/22,84
50,23/04/21,38
10,10/04/22,317
21,19/01/22,469
21,19/11/22,329
11,23/06/22,115
10,26/03/22,343
15,4/01/21,1118
83,13/11/22,10
15,24/02/21,1312
82,5/10/21,43
57,6/02/21,267
82,23/10/21,57
15,13/09/21,1082
68,3/05/22,1382
7,4/08/21,83
68,11/08/21,1520
97,13/11/21,134
74,31/05/22,23
86,27/11/21,2170
100,28/03/21,2130
15,22/05/22,1197
60,29/01/22,215
68,24/10/21,1283
100,1/04/21,2854
97,16/04/22,217
86,22/05/21,2216
19,23/07/21,208
100,21/10/21,2119
10,7/02/22,327
86,6/06/22,2032
1,7/02/22,83
40,10/07/21,273
20,27/10/21,1239
15,8/11/22,1749
21,2/09/22,423
84,17/07/22,11
38,2/09/22,370
21,23/02/22,488
2,30/05/21,521
57,17/05/22,595
16,24/05/21,626
46,31/08/22,30
15,8/08/21,1365
21,26/05/21,510
57,25/12/22,378
50,21/02/21,29
100,16/05/21,1913
47,16/04/21,160
86,31/12/22,2435
100,13/09/22,1485
100,25/02/22,2063
82,12/03/22,66
34,5/02/21,329
20,6/08/22,1188
16,11/10/21,495
57,11/10/22,508
95,29/07/22,21
15,12/04/22,1333
86,6/01/21,1793
97,12/05/21,92
84,22/11/21,15
10,30/04/22,376
16,27/11/22,566
57,25/03/22,434
16,31/01/22,468
98,6/03/22,176
86,14/01/22,1849
92,18/01/22,30
20,11/11/21,1338
68,22/06/21,1487
21,28/07/22,350
19,2/03/22,219
15,24/11/22,1560
100,4/09/22,1700
34,29/09/21,278
59,27/06/22,67
12,27/11/21,170
100,15/11/22,1730
47,13/06/21,234
86,6/03/21,2149
38,12/02/21,332
10,6/01/22,230
100,25/09/21,2005
98,13/08/21,477
98,15/01/21,512
52,20/03/21,128
84,15/07/21,29
59,11/01/21,70
60,20/05/21,255
53,21/06/22,142
16,10/06/22,627
48,28/04/22,9
40,20/12/22,158
45,19/05/21,56
68,20/09/22,1389
20,19/11/21,1299
86,1/12/22,1922
31,21/06/22,16
32,16/05/22,34
20,8/03/21,1125
19,9/11/22,282
15,9/05/21,1455
27,22/12/21,17
11,5/01/22,68
2,26/03/21,760
100,12/04/22,1461
57,1/09/21,287
15,11/09/22,1252
15,12/11/21,1434
18,2/04/21,184
100,1/02/22,1646
60,4/08/21,242
34,29/07/22,276
32,28/05/21,66
10,26/01/22,498
12,24/11/22,143
2,9/05/21,526
57,7/12/21,519
16,8/09/21,600
34,3/02/22,247
86,23/03/22,1322
10,12/12/21,284
20,20/07/21,1448
26,20/11/22,213
26,23/04/21,133
15,8/10/21,1292
41,29/09/21,291
76,11/07/21,37
59,28/04/21,66
76,5/05/22,59
21,5/03/21,439
11,5/11/22,122
16,17/12/21,577
47,24/10/22,167
27,15/05/21,37
32,19/01/22,120
57,13/08/22,348
85,3/04/21,200
98,15/11/22,247
38,28/06/21,856
23,11/08/22,76
82,23/02/22,48
96,24/09/22,150
96,17/07/22,195
34,6/05/21,270
97,20/07/22,85
57,21/03/21,236
46,30/11/22,39
57,2/12/22,463
2,29/03/22,617
92,20/07/21,106
57,13/10/22,422
31,2/07/21,14
12,9/09/22,74
19,2/02/22,190
12,4/06/22,105
99,17/04/21,28
57,30/09/22,378
79,11/03/21,62
53,18/07/21,286
15,10/01/21,1133
20,19/10/22,1261
47,27/12/21,294
59,15/10/21,61
19,18/11/22,220
57,24/02/21,470
53,6/01/21,197
26,8/10/22,121
1,29/07/22,97
96,26/04/22,263
15,14/10/22,1392
38,22/10/21,392
82,17/09/22,82
88,10/08/21,46
82,14/10/21,32
11,8/07/21,99
10,26/08/21,149
41,3/08/21,144
2,9/03/22,640
10,1/06/21,276
20,22/03/21,1138
57,15/09/22,488
29,7/11/21,5
98,3/10/22,172
41,31/03/22,166
51,11/02/22,46
34,27/02/21,259
83,30/05/21,7
98,22/02/22,210
60,29/01/21,225
2,16/04/22,521
53,18/11/21,291
96,2/08/22,56
60,23/05/22,192
98,5/10/21,217
78,20/12/21,18
98,24/12/22,1074
41,17/07/22,145
76,19/09/21,28
7,11/04/21,114
17,25/11/21,3
5,10/05/22,11
21,25/11/22,425
60,30/08/22,174
83,5/01/22,18
46,17/06/21,20
72,19/03/21,23
81,9/01/22,8
34,15/08/22,246
4,22/05/22,22
59,13/07/22,61
1,30/07/21,79
63,14/03/21,14
57,29/01/21,397
13,10/01/21,6
23,2/05/21,13
92,13/10/21,25
53,25/07/21,219
34,25/08/22,290
8,7/05/21,35
97,18/04/22,114
59,25/03/22,70
5,20/12/21,10
34,31/10/21,237
53,29/07/22,245
84,1/12/21,17
8,23/02/21,20
34,14/02/21,213
53,9/05/21,248
47,23/06/22,163
82,18/01/22,44
64,18/04/22,6
85,29/01/21,219
34,22/11/21,303
76,20/05/21,69
47,22/10/22,294
96,8/06/22,84
50,10/01/21,21
66,9/01/21,21
88,16/03/22,68
37,25/02/22,5
65,15/08/21,5
88,8/12/21,57
19,8/12/21,198
29,12/03/22,44
11,2/05/21,80
23,20/05/21,95
95,30/11/21,8
60,1/10/22,142
26,3/03/21,27
88,17/01/22,42
65,8/01/22,7
53,8/05/22,248
32,14/08/21,48
84,13/02/22,5
45,3/06/21,81
76,8/12/22,82
53,17/01/22,126
97,27/03/21,113
77,5/01/22,17
96,16/03/21,203
96,26/02/22,177
34,13/08/22,272
41,9/06/22,113
28,8/04/21,8
58,22/11/21,2
32,15/02/21,62
72,23/10/21,36
60,16/05/21,165
26,1/05/22,32
47,10/04/21,217
76,27/05/22,41
98,13/01/21,277
40,10/10/21,115
35,5/05/21,45
34,1/02/21,309
96,9/09/21,64
60,19/02/21,246
32,2/12/21,45
12,20/10/22,78
62,4/02/21,17
26,28/10/21,25
27,20/09/22,10
3,10/12/21,65
57,2/10/21,266
56,21/05/22,16
51,21/01/22,33
11,12/02/21,115
51,23/09/21,43
76,20/01/22,80
40,21/01/22,164
47,6/04/21,133
1,8/12/21,68
3,2/12/22,50
45,31/07/21,84
47,21/10/21,184
62,31/03/21,16
19,25/06/21,192
36,8/10/22,3
85,28/07/21,119
41,30/09/22,198
26,5/10/22,159
77,6/01/21,30
8,26/08/22,71
18,9/08/22,34
60,14/02/21,149
4,25/08/22,6
74,4/03/22,19
7,10/10/21,89
97,5/01/21,98
97,13/04/21,86
65,26/08/22,19
12,18/02/22,63
40,6/01/22,93
29,24/06/22,15
77,12/02/21,46
35,7/11/22,28
47,28/01/22,170
3,13/08/22,35
51,31/01/22,34
41,1/05/22,154
97,4/07/21,72
97,14/12/21,137
85,8/08/21,71
48,17/07/22,6
53,26/04/21,255
13,24/11/21,3
29,16/10/21,125
65,24/06/21,3
18,8/06/21,57
97,8/09/22,104
34,29/12/22,223
46,18/12/22,56
36,16/02/21,11
63,25/01/21,7
97,28/02/21,53
11,4/01/22,94
34,2/01/21,189
50,4/08/22,22
32,22/10/21,36
50,24/06/21,28
46,12/08/21,28
74,24/06/21,25
12,27/06/21,91
1,11/08/21,37
51,18/05/22,32
59,17/02/21,63
31,26/10/22,30
73,30/03/21,3
19,19/09/21,48
47,13/06/22,116
30,8/02/22,14
95,13/04/21,13
26,13/12/22,102
30,24/07/21,78
23,30/06/21,48
19,21/10/22,186
1,19/05/22,38
26,9/02/21,35
61,13/01/22,2
35,21/11/22,27
5,27/03/22,29
79,5/05/21,68
41,24/04/22,131
19,6/01/22,96
5,6/08/22,84
12,18/12/21,115
42,21/05/21,10
17,14/08/21,39
66,9/12/22,8
43,6/01/22,2
41,16/07/21,126
1,28/02/22,40
12,31/05/22,55
19,28/09/22,195
82,24/02/21,51
79,7/03/21,36
84,19/05/22,17
46,6/09/22,39
73,1/04/21,9
32,12/06/21,78
43,13/03/21,5
85,22/03/22,93
26,4/03/22,25
79,12/02/21,72
35,16/09/21,16
40,19/06/22,80
4,25/07/21,27
52,24/04/21,13
46,4/05/21,26
23,14/04/21,36
75,28/03/21,8
77,2/02/21,18
32,28/05/22,21
90,23/12/21,32
18,29/07/21,55
50,4/12/22,29
8,15/10/22,86
3,22/02/21,21
95,16/10/22,14
74,25/11/21,20
27,1/07/21,15
59,10/12/21,59
3,15/07/22,59
35,15/08/22,26
28,4/03/21,7
95,24/12/22,23
76,13/03/21,46
74,9/09/22,33
77,27/12/22,30
96,3/05/22,65
11,29/05/22,93
26,21/06/22,81
1,4/04/21,43
88,2/09/21,35
51,31/05/22,30
92,18/09/22,5
72,27/03/21,38
94,4/12/22,25
44,4/12/22,31
44,8/07/22,8
11,1/02/22,87
97,12/01/21,97
98,2/05/21,143
50,11/02/22,23
5,15/06/21,7
92,17/05/21,18
8,30/09/22,65
30,7/05/22,75
17,16/11/22,33
49,3/07/21,15
61,16/06/21,2
11,21/02/22,56
51,6/12/22,39
96,31/08/21,10
11,2/12/22,100
23,19/03/21,82
88,14/01/22,53
61,17/05/21,2
72,5/01/21,26
8,30/01/22,32
44,23/02/22,8
8,2/02/22,22
77,21/02/21,16
46,4/07/22,20
59,1/09/22,63
5,31/01/21,10
78,12/06/22,8
74,18/10/21,29
59,14/06/22,60
17,13/05/21,1
95,29/06/22,37
30,31/10/21,15
76,23/09/21,64
32,9/09/21,40
90,2/03/21,6
5,25/05/21,13
32,26/03/22,11
50,9/05/22,12
64,26/09/21,6
56,24/05/22,5
84,29/07/21,18
97,19/03/21,116
1,6/12/21,22
79,5/06/21,52
11,14/04/22,104
49,27/06/21,4
89,2/06/21,3
5,23/02/21,13
65,16/05/21,4
30,8/04/22,22
66,20/10/22,6
65,15/06/22,6
71,14/01/21,9
92,10/05/21,16
67,12/03/21,24
4,21/12/22,21
62,20/08/22,23
84,2/06/21,29
8,31/07/22,25
62,13/01/22,21
88,16/06/21,28
4,13/03/22,14
4,6/05/21,15
81,19/02/21,4
17,21/12/22,26
82,18/01/21,37
58,7/08/21,27
30,5/11/22,22
81,20/11/21,14
43,29/12/22,10
77,1/09/22,38
8,26/10/22,33
90,21/05/21,14
74,3/01/21,11
26,29/07/21,76
76,19/01/21,110
74,17/11/21,35
62,5/04/22,19
35,2/07/22,29
18,16/04/21,88
43,19/11/22,3
29,22/10/22,30
8,6/09/22,25
65,8/07/21,2
29,6/04/22,30
4,10/02/21,13
37,23/05/22,5
4,13/01/22,11
37,28/01/22,7
46,10/02/22,27
72,26/07/21,31
3,14/03/22,3
28,22/03/22,10
90,2/08/21,8
46,30/04/21,49
74,12/12/21,15
77,9/04/21,33
56,22/08/22,8
37,23/03/21,10
58,23/04/21,12
97,24/02/22,82
35,31/08/22,24
72,7/05/22,37
28,24/11/21,3
58,13/11/22,1
58,3/08/22,5
45,2/10/21,69
50,5/05/22,17
95,31/08/21,3
90,25/11/22,27
84,29/01/22,32
56,19/12/22,26
76,27/10/22,46
45,7/02/21,44
42,16/06/21,11
62,1/10/21,6
32,28/04/21,44
18,14/12/21,42
75,15/01/22,5
81,10/10/21,10
66,11/09/21,32
73,6/08/21,5
46,9/11/22,39
65,22/07/22,7
46,2/01/22,15
31,24/05/21,17
35,22/08/22,24
90,11/07/22,6
23,31/05/21,14
78,12/10/22,26
31,28/05/21,8
92,19/09/21,14
8,2/02/21,20
95,25/02/22,17
11,18/09/22,85
42,12/06/21,13
44,27/04/22,42
63,8/08/21,8
31,9/07/21,21
84,27/06/21,9
36,7/03/22,2
49,22/05/21,14
